company_name,company_rating,remote,city,state,low_salary,high_salary,post_age_days
Oxford Lock,,2,Milwaukee,WI,,,1
Advanced Hires,,2,Milwaukee,WI,,,14
Sikich,3.8,0,Milwaukee,WI,67.5,85.5,
Milliman,3.6,1,Brookfield,WI,,,21
Deloitte,3.9,2,Milwaukee,WI,91.7,116,1
Represent Consulting Group,,2,South Milwaukee,WI,,,14
Children's Wisconsin,4.2,1,Milwaukee,WI,63.5,80.3,6
KPMG,3.9,1,Milwaukee,WI,93,118,12
Techspace Solutions,,0,Wauwatosa,WI,86.5,110,3
Marquette University,4.2,0,Milwaukee,WI,68.6,86.8,3
Milwaukee Electric Tool Corporation,3.7,0,Brookfield,WI,107,135,22
Milwaukee Electric Tool Corporation,3.7,0,Brookfield,WI,95,120,30+
Deloitte,3.9,2,Milwaukee,WI,89.2,113,26
"Hold Security, LLC",,0,Mequon,WI,,,8
VMware,4.1,1,Milwaukee,WI,45.6,57.8,15
KPMG,3.9,0,Milwaukee,WI,86,109,30+
Briggs and Stratton,3.6,1,Wauwatosa,WI,95.7,121,30+
Johnson Controls,3.7,1,Milwaukee,WI,,,27
Accenture,4.0,1,Milwaukee,WI,,,20
ZYWAVE INC.,3.6,1,Milwaukee,WI,91,115,14
LANDMARK CREDIT UNION,3.2,0,Brookfield,WI,73.1,92.5,22
IDENTIFY SECURITY,,0,Wauwatosa,WI,97.2,123,30+
Molson Coors,3.8,2,Milwaukee,WI,85.2,108,30+
Foley & Lardner LLP,3.7,2,Milwaukee,WI,86.1,109,30+
MARS Solutions Group,4.3,0,Milwaukee,WI,,,7
Johnson Controls,3.7,1,Milwaukee,WI,,,30+
Deloitte,3.9,0,Milwaukee,WI,86.1,109,30+
Johnson Controls,3.7,1,Milwaukee,WI,,,28
Johnson Controls,3.7,1,Milwaukee,WI,,,30+
Impact Networking,3.2,0,Brookfield,WI,,,30+
Johnson Controls,3.7,1,Milwaukee,WI,,,28
Johnson Controls,3.7,1,Milwaukee,WI,,,30+
Accenture,4.0,0,Milwaukee,WI,,,30+
"Gerald L. Ignace Indian Health Center, Inc.",4.3,0,Milwaukee,WI,,,30+
Deloitte,3.9,2,Milwaukee,WI,133,169,26
KPMG,3.9,0,Milwaukee,WI,120,152,30+
Deloitte,3.9,2,Milwaukee,WI,98.8,125,21
Deloitte,3.9,0,Milwaukee,WI,105,133,30+
Marquette University,4.2,0,Milwaukee,WI,42,53.2,3
Deloitte,3.9,2,Milwaukee,WI,80.8,102,30+
Tri City National Bank,3.1,0,West Allis,WI,,,23
Waukesha County Technical College,4.4,0,Pewaukee,WI,,,30+
Optiv,3.2,0,Milwaukee,WI,107,136,30+
"SysLogic, Inc.",,0,Milwaukee,WI,103,130,30+
PTS Consulting,,0,Milwaukee,WI,,,8
"SysLogic, Inc.",,0,Milwaukee,WI,103,130,30+
Deloitte,3.9,2,Milwaukee,WI,117,148,26
"Executive Director, Inc.",2.6,0,Milwaukee,WI,66.4,84,2
Advocate Aurora Health,3.6,0,Milwaukee,WI,,,30+
